,0,1,2,3,4,5,6,7,8
0,3,0,0,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,0
2,5,0,0,0,0,0,0,0,0
3,-1,0,0,0,0,0,0,0,0
4,3,0,0,0,0,0,0,0,0
5,-1,0,0,0,0,0,0,0,0
6,-1,0,0,0,0,0,0,0,0
7,3,0,0,0,0,0,0,0,0
8,-1,0,0,0,0,0,0,0,0
9,4,0,0,0,0,0,0,0,0
10,-1,0,0,0,0,0,0,0,0
11,3,0,0,0,0,0,0,0,0
12,4,0,0,0,0,0,0,0,0
13,-1,0,0,0,0,0,0,0,0
14,1,0,0,0,0,0,0,0,0
15,-1,0,0,0,0,0,0,0,0
16,-1,0,0,0,0,0,0,0,0
17,3,0,0,0,0,0,0,0,0
18,-1,0,0,0,0,0,0,0,0
19,2,0,0,0,0,0,0,0,0
20,3,0,0,0,0,0,0,0,0
21,2,0,0,0,0,0,0,0,0
22,-1,0,0,0,0,0,0,0,0
23,-1,0,0,0,0,0,0,0,0
24,-1,0,0,0,0,0,0,0,0
25,-1,0,0,0,0,0,0,0,0
26,3,0,0,0,0,0,0,0,0
27,3,0,0,0,0,0,0,0,0
28,3,0,0,0,0,0,0,0,0
29,5,0,0,0,0,0,0,0,0
30,4,0,0,0,0,0,0,0,0
31,-1,0,0,0,0,0,0,0,0
32,-1,0,0,0,0,0,0,0,0
33,1,0,0,0,0,0,0,0,0
34,4,0,0,0,0,0,0,0,0
35,3,0,0,0,0,0,0,0,0
36,-1,0,0,0,0,0,0,0,0
37,4,0,0,0,0,0,0,0,0
38,-1,0,0,0,0,0,0,0,0
39,3,0,0,0,0,0,0,0,0
40,3,0,0,0,0,0,0,0,0
41,-1,0,0,0,0,0,0,0,0
42,-1,0,0,0,0,0,0,0,0
43,-1,0,0,0,0,0,0,0,0
44,2,0,0,0,0,0,0,0,0
45,-1,0,0,0,0,0,0,0,0
46,2,0,0,0,0,0,0,0,0
47,5,0,0,0,0,0,0,0,0
48,2,0,0,0,0,0,0,0,0
49,3,0,0,0,0,0,0,0,0
50,0,1,1,1,1,1,1,1,1
51,0,1,1,1,1,1,1,1,1
52,0,1,1,1,1,1,1,1,1
53,0,1,1,1,1,1,1,1,1
54,0,1,1,1,1,1,1,1,1
55,0,1,1,1,1,1,1,1,1
56,0,1,1,1,1,1,1,1,1
57,0,1,1,1,1,1,1,1,1
58,0,1,1,1,1,1,1,1,1
59,0,1,1,1,1,1,1,1,1
60,0,1,1,1,1,1,1,1,1
61,0,1,1,1,1,1,1,1,1
62,0,1,1,1,1,1,1,1,1
63,0,1,1,1,1,1,1,1,1
64,0,1,1,1,1,1,1,1,1
65,0,1,1,1,1,1,1,1,1
66,0,1,1,1,1,1,1,1,1
67,0,1,1,1,1,1,1,1,1
68,0,1,1,1,1,1,1,1,1
69,0,1,1,1,1,1,1,1,1
70,0,1,1,1,1,1,1,1,1
71,0,1,1,1,1,1,1,1,1
72,0,1,1,1,1,1,1,1,1
73,0,1,1,1,1,1,1,1,1
74,0,1,1,1,1,1,1,1,1
75,0,1,1,1,1,1,1,1,1
76,0,1,1,1,1,1,1,1,1
77,0,1,1,1,1,1,1,1,1
78,0,1,1,1,1,1,1,1,1
79,0,1,1,1,1,1,1,1,1
80,0,1,1,1,1,1,1,1,1
81,0,1,1,1,1,1,1,1,1
82,0,1,1,1,1,1,1,1,1
83,0,1,1,1,1,1,1,1,1
84,0,1,1,1,1,1,1,1,1
85,0,1,1,1,1,1,1,1,1
86,0,1,1,1,1,1,1,1,1
87,0,1,1,1,1,1,1,1,1
88,0,1,1,1,1,1,1,1,1
89,0,1,1,1,1,1,1,1,1
90,0,1,1,1,1,1,1,1,1
91,0,1,1,1,1,1,1,1,1
92,0,1,1,1,1,1,1,1,1
93,0,1,1,1,1,1,1,1,1
94,0,1,1,1,1,1,1,1,1
95,0,1,1,1,1,1,1,1,1
96,0,1,1,1,1,1,1,1,1
97,0,1,1,1,1,1,1,1,1
98,0,1,1,1,1,1,1,1,1
99,0,1,1,1,1,1,1,1,1
100,0,1,1,1,1,1,1,1,1
101,0,1,1,1,1,1,1,1,1
102,0,1,1,1,1,1,1,1,1
103,0,1,1,1,1,1,1,1,1
104,0,1,1,1,1,1,1,1,1
105,0,1,1,1,1,1,1,1,1
106,0,1,1,1,1,1,1,1,1
107,0,1,1,1,1,1,1,1,1
108,0,1,1,1,1,1,1,1,1
109,0,1,1,1,1,1,1,1,1
110,0,1,1,1,1,1,1,1,1
111,0,1,1,1,1,1,1,1,1
112,0,1,1,1,1,1,1,1,1
113,0,1,1,1,1,1,1,1,1
114,0,1,1,1,1,1,1,1,1
115,0,1,1,1,1,1,1,1,1
116,0,1,1,1,1,1,1,1,1
117,0,1,1,1,1,1,1,1,1
118,0,1,1,1,1,1,1,1,1
119,0,1,1,1,1,1,1,1,1
120,0,1,1,1,1,1,1,1,1
121,0,1,1,1,1,1,1,1,1
122,0,1,1,1,1,1,1,1,1
123,0,1,1,1,1,1,1,1,1
124,0,1,1,1,1,1,1,1,1
125,0,1,1,1,1,1,1,1,1
126,0,1,1,1,1,1,1,1,1
127,0,1,1,1,1,1,1,1,1
128,0,1,1,1,1,1,1,1,1
129,0,1,1,1,1,1,1,1,1
130,0,1,1,1,1,1,1,1,1
131,0,1,1,1,1,1,1,1,1
132,0,1,1,1,1,1,1,1,1
133,0,1,1,1,1,1,1,1,1
134,0,1,1,1,1,1,1,1,1
135,0,1,1,1,1,1,1,1,1
136,0,1,1,1,1,1,1,1,1
137,0,1,1,1,1,1,1,1,1
138,0,1,1,1,1,1,1,1,1
139,0,1,1,1,1,1,1,1,1
140,0,1,1,1,1,1,1,1,1
141,0,1,1,1,1,1,1,1,1
142,0,1,1,1,1,1,1,1,1
143,0,1,1,1,1,1,1,1,1
144,0,1,1,1,1,1,1,1,1
145,0,1,1,1,1,1,1,1,1
146,0,1,1,1,1,1,1,1,1
147,0,1,1,1,1,1,1,1,1
148,0,1,1,1,1,1,1,1,1
149,0,1,1,1,1,1,1,1,1
